x,y,z
0.0,0.0,0.0
-0.00993017479777003,0.0031811594963099266,0.00031355768441999887
-0.00993017479777003,0.0031811594963099266,0.00031355768441999887
-0.009815510362400026,0.0025561451911999544,0.00041960179805999864
-0.009815510362400026,0.0025561451911999544,0.00041960179805999864
-0.008650477975600035,0.003055870532989946,-0.001332238316540002
-0.008650477975600035,0.003055870532989946,-0.001332238316540002
-0.011882070451970095,0.0033861398696899414,0.0002115070819899978
-0.011882070451970095,0.0033861398696899414,0.0002115070819899978
-0.010918121784900037,0.00016653537750999092,0.0024356469512000004
-0.010918121784900037,0.00016653537750999092,0.0024356469512000004
-0.011183422058800074,0.00119102001190996,0.0016650334000600023
-0.011183422058800074,0.00119102001190996,0.0016650334000600023
